DecimalValue,LoggerId,Time
17.94,206,"2020-12-17 13:43:03.000000"
18.25,206,"2020-12-17 13:44:09.000000"
18.37,206,"2020-12-17 13:45:54.000000"
18.77,206,"2020-12-17 13:48:07.000000"
18.92,206,"2020-12-17 13:49:13.000000"
18.94,206,"2020-12-17 13:50:46.000000"
19.12,206,"2020-12-17 13:53:04.000000"
19.09,206,"2020-12-17 13:54:01.000000"
18.87,206,"2020-12-17 13:58:08.000000"
18.86,206,"2020-12-17 13:59:14.000000"
18.86,206,"2020-12-17 14:00:53.000000"
18.81,206,"2020-12-17 14:03:08.000000"
18.76,206,"2020-12-17 14:13:09.000000"
18.62,206,"2020-12-17 14:23:28.000000"
18.63,206,"2020-12-17 14:25:28.000000"
18.62,206,"2020-12-17 14:27:22.000000"
18.62,206,"2020-12-17 14:29:29.000000"
18.58,206,"2020-12-17 14:31:26.000000"
18.58,206,"2020-12-17 14:33:26.000000"
18.59,206,"2020-12-17 14:39:30.000000"
17.94,110,"2020-12-17 14:39:14.000000"
18.59,206,"2020-12-17 14:39:57.000000"
17.34,110,"2020-12-17 14:39:56.000000"
18.55,206,"2020-12-17 14:41:24.000000"
16.37,110,"2020-12-17 14:41:29.000000"
18.53,206,"2020-12-17 14:43:09.000000"
15.67,110,"2020-12-17 14:43:23.000000"
18.50,206,"2020-12-17 14:44:45.000000"
15.36,110,"2020-12-17 14:44:48.000000"
18.51,206,"2020-12-17 14:45:27.000000"
15.36,110,"2020-12-17 14:45:18.000000"
18.64,206,"2020-12-17 14:51:25.000000"
12.50,110,"2020-12-17 14:51:09.000000"
18.67,206,"2020-12-17 14:53:19.000000"
11.45,110,"2020-12-17 14:53:24.000000"
18.85,206,"2020-12-17 14:54:58.000000"
11.26,110,"2020-12-17 14:54:46.000000"
18.54,206,"2020-12-17 14:55:28.000000"
11.15,110,"2020-12-17 14:55:28.000000"
17.13,206,"2020-12-17 14:57:28.000000"
11.04,110,"2020-12-17 14:57:22.000000"
14.65,206,"2020-12-17 14:59:28.000000"
10.67,110,"2020-12-17 14:59:25.000000"
14.65,206,"2020-12-17 14:59:59.000000"
10.67,110,"2020-12-17 14:59:58.000000"
12.14,206,"2020-12-17 15:01:20.000000"
9.94,110,"2020-12-17 15:01:28.000000"
5.61,206,"2020-12-17 15:09:29.000000"
6.84,110,"2020-12-17 15:09:29.000000"
5.61,206,"2020-12-17 15:10:00.000000"
6.84,110,"2020-12-17 15:09:59.000000"
5.33,206,"2020-12-17 15:11:24.000000"
6.68,110,"2020-12-17 15:11:26.000000"
4.95,206,"2020-12-17 15:13:27.000000"
6.41,110,"2020-12-17 15:13:29.000000"
4.80,206,"2020-12-17 15:14:57.000000"
6.31,110,"2020-12-17 15:15:00.000000"
4.86,206,"2020-12-17 15:19:24.000000"
6.24,110,"2020-12-17 15:19:24.000000"
4.86,206,"2020-12-17 15:19:46.000000"
6.24,110,"2020-12-17 15:19:42.000000"
4.81,206,"2020-12-17 15:21:28.000000"
6.09,110,"2020-12-17 15:21:27.000000"
4.59,206,"2020-12-17 15:23:19.000000"
5.90,110,"2020-12-17 15:23:27.000000"
4.30,206,"2020-12-17 15:27:07.000000"
5.65,110,"2020-12-17 15:27:22.000000"
4.08,206,"2020-12-17 15:29:28.000000"
5.41,110,"2020-12-17 15:29:25.000000"
4.08,206,"2020-12-17 15:29:49.000000"
5.41,110,"2020-12-17 15:29:58.000000"
3.93,206,"2020-12-17 15:31:23.000000"
5.30,110,"2020-12-17 15:31:28.000000"
3.87,206,"2020-12-17 15:33:26.000000"
5.23,110,"2020-12-17 15:33:28.000000"
3.85,206,"2020-12-17 15:34:47.000000"
5.19,110,"2020-12-17 15:34:58.000000"
3.75,206,"2020-12-17 15:37:29.000000"
5.10,110,"2020-12-17 15:37:14.000000"
3.64,206,"2020-12-17 15:39:23.000000"
4.97,110,"2020-12-17 15:39:29.000000"
3.64,206,"2020-12-17 15:39:59.000000"
4.97,110,"2020-12-17 15:39:38.000000"
3.56,206,"2020-12-17 15:41:30.000000"
4.88,110,"2020-12-17 15:41:26.000000"
3.59,206,"2020-12-17 15:43:18.000000"
4.87,110,"2020-12-17 15:43:29.000000"
3.45,206,"2020-12-17 15:47:21.000000"
4.73,110,"2020-12-17 15:47:30.000000"
3.43,206,"2020-12-17 15:49:27.000000"
4.68,110,"2020-12-17 15:49:27.000000"
3.43,206,"2020-12-17 15:49:54.000000"
4.68,110,"2020-12-17 15:49:33.000000"
3.38,206,"2020-12-17 15:51:28.000000"
4.61,110,"2020-12-17 15:51:27.000000"
3.40,206,"2020-12-17 15:53:16.000000"
4.60,110,"2020-12-17 15:53:24.000000"
3.36,206,"2020-12-17 15:57:25.000000"
4.51,110,"2020-12-17 15:57:25.000000"
3.29,206,"2020-12-17 15:59:22.000000"
4.45,110,"2020-12-17 15:59:25.000000"
3.29,206,"2020-12-17 15:59:58.000000"
4.45,110,"2020-12-17 15:59:52.000000"
3.32,206,"2020-12-17 16:01:20.000000"
4.45,110,"2020-12-17 16:01:28.000000"
3.30,206,"2020-12-17 16:03:20.000000"
4.43,110,"2020-12-17 16:03:28.000000"
3.33,206,"2020-12-17 16:04:59.000000"
4.46,110,"2020-12-17 16:04:37.000000"
3.31,206,"2020-12-17 16:05:26.000000"
4.38,110,"2020-12-17 16:05:28.000000"
3.31,206,"2020-12-17 16:07:29.000000"
4.37,110,"2020-12-17 16:07:29.000000"
3.28,206,"2020-12-17 16:09:20.000000"
4.37,110,"2020-12-17 16:09:29.000000"
3.28,206,"2020-12-17 16:09:53.000000"
4.37,110,"2020-12-17 16:09:56.000000"
3.31,206,"2020-12-17 16:11:30.000000"
4.38,110,"2020-12-17 16:11:23.000000"
3.29,206,"2020-12-17 16:13:24.000000"
4.35,110,"2020-12-17 16:13:29.000000"
3.28,206,"2020-12-17 16:15:00.000000"
4.35,110,"2020-12-17 16:14:59.000000"
3.32,206,"2020-12-17 16:15:27.000000"
